Ubigeo,Departamento provincia y distrito,2018,2019,2020
60702,CHUGUR,3039,3003,2959
60703,HUALGAYOC,16299,16298,16252
60800,JA�N,199911,202081,203724
60801,JA�N,102445,104361,106009
60802,BELLAVISTA,16212,16313,1637
60803,CHONTALI,10329,10374,10391
60804,COLASAY,10682,10639,10567
60805,HUABAL,8762,8887,8989
60806,LAS PIRIAS,4586,4621,4643
60807,POMAHUACA,9151,9211,9245
60808,PUCARA,6878,6873,685
60809,SALLIQUE,7542,7536,7509
60810,SAN FELIPE,4868,4809,474
60811,SAN JOS� DEL ALTO,7847,7959,805
60812,SANTA ROSA,10609,10498,10361
60900,SAN IGNACIO,143012,14458,14577
60901,SAN IGNACIO,38745,39506,40171
60902,CHIRINOS,1553,15773,15974
60903,HUARANGO,18874,18766,18607
60904,LA COIPA,20778,21032,21229
60905,NAMBALLE,9967,997,9945
60906,SAN JOS� DE LOURDES,1957,19757,1989
60907,TABACONAS,19548,19776,19954
61000,SAN MARCOS,51448,51633,51678
61001,PEDRO G�LVEZ,21245,21494,21685
61002,CHANCAY,3099,3088,3069
61003,EDUARDO VILLANUEVA,2903,2975,3039
61004,GREGORIO PITA,5406,5284,515
61005,ICHOCAN,1995,1987,1971
61006,JOS� MANUEL QUIROZ,3703,367,3627
61007,JOS� SABOGAL,13097,13135,13137
61100,SAN MIGUEL,4833,47782,47114
61101,SAN MIGUEL,1426,14167,14036
61102,BOL�VAR,1359,1336,131
61103,CALQUIS,4298,4295,4281
61104,CATILLUC,289,2855,2813
61105,EL PRADO,1699,168,1657
61106,LA FLORIDA,2216,2193,2165
61107,LLAPA,4689,4633,4563
61108,NANCHOC,1374,1373,137
61109,NIEPOS,3434,3359,3276
61110,SAN GREGORIO,2306,2293,2274
61111,SAN SILVESTRE DE COCH�N,384,3781,3711
61112,TONGOD,2756,2644,253
61113,UNI�N AGUA BLANCA,3209,3173,3128
61200,SAN PABLO,22657,22677,22638
61201,SAN PABLO,13417,13457,1346
61202,SAN BERNARDINO,459,459,4578
61203,SAN LUIS,983,953,922
61204,TUMBADEN,3667,3677,3678
61300,SANTA CRUZ,39294,38999,38602
61301,SANTA CRUZ,9814,9799,9756
61302,ANDABAMBA,1371,1343,1311
61303,CATACHE,9808,9852,987
61304,CHANCAYBA�OS,3532,3505,3468
61305,LA ESPERANZA,2426,2391,2351
61306,NINABAMBA,2131,2067,1999
61307,PULAN,4026,3962,3887
61308,SAUCEPAMPA,1482,1442,1399
61309,SEXI,447,443,437
61310,UTICYACU,131,1284,1255
61311,YAUYUC�N,2947,2911,2869
70000,PROV. CONST. DEL CALLAO,1.078.789,1.105.512,1.129.854
70100,CALLAO,1.078.789,1.105.512,1.129.854
70101,CALLAO,492879,503234,512386
70102,BELLAVISTA,79358,80139,80704
70103,CARMEN DE LA LEGUA REYNOSO,45396,45963,46409
70104,LA PERLA,63657,64142,64454
70105,LA PUNTA,3979,3963,3935
70106,VENTANILLA,3439,357035,369618
70107,MI PER�,4962,51036,52348
80000,CUSCO,1.320.530,1.340.457,1.357.075
80100,CUSCO,484248,498169,511019
80101,CUSCO,11711,117821,118127
80102,CCORCA,2403,2408,2405
80103,POROY,10535,11418,12333
80104,SAN JER�NIMO,62369,66405,70453
80105,SAN SEBASTI�N,122835,128607,134182
80106,SANTIAGO,100663,1024,103817
80107,SAYLLA,709,7702,8338
80108,WANCHAQ,61243,61408,61364
80200,ACOMAYO,24437,24251,24
80201,ACOMAYO,4726,4678,4616
80202,ACOPIA,2964,301,3048
80203,ACOS,2378,2367,235
80204,MOSOC LLACTA,1167,1118,1069
80205,POMACANCHI,7701,7661,7598
80206,RONDOC�N,2046,1982,1915
80207,SANGARAR�,3455,3435,3404
80300,ANTA,61564,62428,63131
80301,ANTA,23817,24667,25464
80302,ANCAHUASI,7616,7711,7784
80303,CACHIMAYO,2615,2681,2742
80304,CHINCHAYPUJIO,4394,437,4333
80305,HUAROCONDO,4796,4722,4634
80306,LIMATAMBO,7958,7868,7754
80307,MOLLEPATA,3395,345,3496
80308,PUCYURA,3223,3199,3166
80309,ZURITE,375,376,3758
80400,CALCA,7037,71071,71582
80401,CALCA,22681,23082,23423
80402,COYA,3649,3652,3645
80403,LAMAY,5856,592,5967
80404,LARES,6513,6472,6412
80405,PISAC,11214,11425,11607
80406,SAN SALVADOR,6002,6097,6175
80407,TARAY,4771,4832,488
80408,YANATILE,9684,9591,9473
80500,CANAS,35199,35024,34754
80501,YANAOCA,9314,9302,927
80502,CHECCA,5547,5523,5485
80503,KUNTURKANKI,5214,5204,5178
80504,LANGUI,2174,2142,2104
80505,LAYO,5635,56,5548
80506,PAMPAMARCA,1909,1903,1889
80507,QUEHUE,2741,2704,266
80508,T�PAC AMARU,2665,2646,262
80600,CANCHIS,104611,105685,106476
80601,SICUANI,62983,63931,64711
80602,CHECACUPE,515,5191,5217
80603,COMBAPATA,5035,5038,5026
80604,MARANGANI,10479,10453,10399
80605,PITUMARCA,8126,8257,8366
80606,SAN PABLO,4542,4515,4475
80607,SAN PEDRO,2827,2821,2808
80608,TINTA,5469,5479,5474
80700,CHUMBIVILCAS,70794,70565,70143
80701,SANTO TOM�S,23039,22958,22809
80702,CAPACMARCA,4185,4158,4119
80703,CHAMACA,6671,6596,6503
80704,COLQUEMARCA,7327,7228,711
80705,LIVITACA,12575,12704,12798
80706,LLUSCO,4594,4462,4322
80707,QUI�OTA,4051,4036,401
80708,VELILLE,8352,8423,8472
80800,ESPINAR,61987,62108,62059
80801,ESPINAR,37493,38252,38886
80802,CONDOROMA,919,896,872
80803,COPORAQUE,10632,10236,9824
80804,OCORURO,1074,1035,995
80805,PALLPATA,5137,513,5111
80806,PICHIGUA,296,2896,2824
80807,SUYCKUTAMBO,1712,164,1566
80808,ALTO PICHIGUA,206,2023,1981
80900,LA CONVENCI�N,167312,167846,16791
80901,SANTA ANA,3057,3033,2999
80902,ECHARATE,2666,26006,25281
80903,HUAYOPATA,5545,5525,5487
80904,MARANURA,5448,5336,5209
80905,OCOBAMBA,6061,6025,5985
80906,QUELLOUNO,15173,15187,1515
80907,KIMBIRI,1824,18702,19099
80908,SANTA TERESA,6972,6969,6945
80909,VILCABAMBA,10464,10359,1024
80910,PICHARI,25025,2616,27234
80911,INKAWASI,4913,4979,5031
80912,VILLA VIRGEN,2332,2365,2391
80913,VILLA KINTIARINA,2322,235,2369
80914,MEGANTONI,7587,7553,7499
81000,PARURO,27212,26964,26644
81001,PARURO,3473,3479,3474
81002,ACCHA,3224,3179,3125
81003,CCAPI,3221,3175,3121
81004,COLCHA,999,974,948
81005,HUANOQUITE,514,5116,5078
81006,OMACHA,5923,5891,5842
81007,PACCARITAMBO,2139,2118,2092
81008,PILLPINTO,1072,1054,1033
81009,YAURISQUE,2021,1978,1931
81100,PAUCARTAMBO,47175,47442,47579
81101,PAUCARTAMBO,13177,13323,13435
81102,CAICAY,2952,3005,305
81103,CHALLABAMBA,9488,9468,9421
81104,COLQUEPATA,9004,8973,8915
81105,HUANCARANI,7689,7788,7866
81106,KOS�IPATA,4865,4885,4892
81200,QUISPICANCHI,98076,100027,101735
81201,URCOS,11785,11984,12152
81202,ANDAHUAYLILLAS,6567,676,6938
81203,CAMANTI,2502,2556,2603
81204,CCARHUAYO,3107,3136,3156
81205,CCATCA,1495,15039,15084
81206,CUSIPATA,4672,4673,4661
81207,HUARO,486,4919,4965
81208,LUCRE,4971,5103,5223
81209,MARCAPATA,4873,4917,4947
81210,OCONGATE,17664,18147,18587
81211,OROPESA,10535,11054,11563
81212,QUIQUIJANA,1159,11739,11856
81300,URUBAMBA,67545,68877,70043
81301,URUBAMBA,22637,23222,23754
81302,CHINCHERO,11761,12043,12298
81303,HUAYLLABAMBA,6062,6192,6308
81304,MACHUPICCHU,5623,5671,5704
81305,MARAS,667,6729,6769
81306,OLLANTAYTAMBO,11447,11642,11808
81307,YUCAY,3345,3378,3402
90000,HUANCAVELICA,376346,37126,365317
90100,HUANCAVELICA,123958,122765,121265
90101,HUANCAVELICA,42325,42674,42858
90102,ACOBAMBILLA,2146,2027,1909
90103,ACORIA,18954,18013,17056
90104,CONAYCA,909,879,848
90105,CUENCA,1191,113,1071
90106,HUACHOCOLPA,1975,1893,1807
90107,HUAYLLAHUARA,700,681,662
90108,IZCUCHACA,923,916,905
90109,LARIA,779,747,717
90110,MANTA,1006,962,917
90111,MARISCAL C�CERES,532,514,494
90112,MOYA,1025,966,911
90113,NUEVO OCCORO,1829,1769,1706
90114,PALCA,2102,2005,1906
90115,PILCHACA,537,528,517
90116,VILCA,2008,1922,1834
90117,YAULI,21166,20557,19892
90118,ASCENSI�N,17124,17963,18765
90119,HUANDO,6727,6619,649
90200,ACOBAMBA,40672,39108,37503
90201,ACOBAMBA,9689,9652,9579
90202,ANDABAMBA,3396,3287,3171
90203,ANTA,4951,4718,4483
90204,CAJA,1962,1887,1809
90205,MARCAS,1633,1577,1519
90206,PAUCAR�,10733,9911,9117
90207,POMACOCHA,3067,2973,2873
90208,ROSARIO,5241,5103,4952
90300,ANGARAES,53985,54015,53901
90301,LIRCAY,25639,25801,25891
90302,ANCHONGA,7734,7781,7805
90303,CALLANMARCA,652,634,615
90304,CCOCHACCASA,3226,3216,3198
90305,CHINCHO,1014,991,967
90306,CONGALLA,3866,3831,3786
90307,HUANCA-HUANCA,1437,1423,1405
90308,HUAYLLAY GRANDE,1155,1103,1051
90309,JULCAMARCA,1879,1907,1929
90310,SAN ANTONIO DE ANTAPARCO,2513,2474,2429
90311,SANTO TOM�S DE PATA,1555,1536,1513
90312,SECCLLA,3315,3318,3312
90400,CASTROVIRREYNA,15214,14917,14588
90401,CASTROVIRREYNA,3217,3199,3172
90402,ARMA,1042,1008,972
90403,AURAHUA,1585,1543,1497
90404,CAPILLAS,980,948,915
90405,CHUPAMARCA,964,950,935
90406,COCAS,768,754,737
90407,HUACHOS,985,933,880
90408,HUAMATAMBO,423,422,418
90409,MOLLEPAMPA,1253,1229,1201
90410,SAN JUAN,745,758,769
90411,SANTA ANA,943,886,834
90412,TANTAR�,705,699,691
90413,TICRAPO,1604,1588,1567
90500,CHURCAMPA,3529,34625,33883
90501,CHURCAMPA,5562,5534,5493
90502,ANCO,5941,5896,5833
90503,CHINCHIHUASI,2084,1987,1889
90504,EL CARMEN,2611,2576,2533
90505,LA MERCED,1173,1178,1179
90506,LOCROJA,3596,3534,3464
90507,PAUCARBAMBA,4721,4544,4362
90508,SAN MIGUEL DE MAYOCC,801,777,751
90509,SAN PEDRO DE CORIS,3664,3604,3535
90510,PACHAMARCA,1997,193,1861
90511,COSME,314,3065,2983
90600,HUAYTAR�,18833,18529,18182
90601,HUAYTAR�,2371,2375,2374
90602,AYAVI,833,833,830
90603,CORDOVA,1058,991,927
90604,HUAYACUNDO ARMA,485,488,488
90605,LARAMARCA,905,892,876
90606,OCOYO,858,795,735
90607,PILPICHACA,3038,2973,2899
90608,QUERCO,1151,1183,1211
90609,QUITO-ARMA,745,733,718
90610,SAN ANTONIO DE CUSICANCHA,1473,1455,1431
90611,SAN FRANCISCO DE SANGAYAICO,998,1015,1029
90612,SAN ISIDRO,1149,115,1148
90613,SANTIAGO DE CHOCORVOS,1812,1706,16
90614,SANTIAGO DE QUIRAHUARA,397,377,356
90615,SANTO DOMINGO DE CAPILLAS,801,778,751
90616,TAMBO,759,785,809
90700,TAYACAJA,88394,87301,85995
90701,PAMPAS,10892,11101,11278
90702,ACOSTAMBO,353,3453,3365
90703,ACRAQUIA,3772,3664,3548
90704,AHUAYCHA,4154,4071,3978
90705,COLCABAMBA,12206,12112,11989
90706,DANIEL HERNANDEZ,9959,9996,10002
90707,HUACHOCOLPA,3433,332,3201
90709,HUARIBAMBA,3222,3141,3052
90710,�AHUIMPUQUIO,1573,1527,1479
90711,PAZOS,5513,5361,5198
90713,QUISHUAR,779,767,752
90714,SALCABAMBA,4166,409,4005
90715,SALCAHUASI,2884,2813,2734
90716,SAN MARCOS DE ROCCHAC,1959,1875,1789
90717,SURCUBAMBA,5099,5104,5094
90718,TINTAY PUNCU,3219,3057,2893
90719,QUICHUAS,4307,4301,4281
90720,ANDAYMARCA,263,265,2662
90721,ROBLE,1374,1294,1216
90722,PICHOS,2076,1986,1894
90723,SANTIAGO DE TUCUMA,1647,1618,1585
100000,HU�NUCO,757467,759851,760267
100100,HU�NUCO,307723,312201,315799
100101,HU�NUCO,9244,942,9554
100102,AMARILIS,85811,87373,88635
100103,CHINCHAO,13316,13262,13159
100104,CHURUBAMBA,16764,1608,15364
100105,MARGOS,4514,4312,412
100106,QUISQUI,3637,3454,3279
100107,SAN FRANCISCO DE CAYR�N,4897,4881,4847
100108,SAN PEDRO DE CHAUL�N,3502,3074,2748
100109,SANTA MAR�A DEL VALLE,21395,21672,21872
100110,YARUMAYO,159,1588,1584
100111,PILLCO MARCA,46137,48775,51354
100112,YACUS,5293,52,5092
100113,SAN PABLO DE PILLAO,8427,833,8205
100200,AMBO,53549,53474,53247
100201,AMBO,22143,22746,23267
100202,CAYNA,2577,2486,2391
100203,COLPAS,177,17,1629
100204,CONCHAMARCA,4644,4533,4411
100205,HU�CAR,81,809,8053
100206,SAN FRANCISCO,1565,1467,1374
100207,SAN RAFAEL,9223,9009,8772
100208,TOMAY KICHWA,3527,3443,335
100300,DOS DE MAYO,34376,33436,32427
100301,LA UNI�N,6992,7056,7093
100307,CHUQUIS,3395,3262,3123
100311,MAR�AS,5867,5714,5547
100313,PACHAS,5543,5179,4821
100316,QUIVILLA,1218,1156,1094
100317,RIPAN,5502,5422,5324
100321,SHUNQUI,1701,1636,1567
100322,SILLAPATA,1824,1744,1662
100323,YANAS,2334,2267,2196
100400,HUACAYBAMBA,16939,16677,16372
100401,HUACAYBAMBA,595,5888,5809
100402,CANCHABAMBA,2775,2754,2725
100403,COCHABAMBA,1611,1533,1454
100404,PINRA,6603,6502,6384
100500,HUAMAL�ES,54108,53168,52095
100501,LLATA,13925,13842,13718
100502,ARANCAY,1381,1351,1316
100503,CHAV�N DE PARIARCA,3938,3908,3866
100504,JACAS GRANDE,5992,5958,5906
100505,JIRC�N,1428,1338,1249
100506,MIRAFLORES,318,3156,3124
100507,MONZ�N,1298,1254,12077
100508,PUNCHAO,2032,2006,1976
100509,PU�OS,424,4199,4146
100510,SINGA,3182,3115,3039
100511,TANTAMAYO,183,1755,1678
100600,LEONCIO PRADO,134572,136609,138275
100601,RUPA-RUPA,55795,57034,58126
100602,DANIEL ALOM�A ROBLES,6833,6867,688
100603,HERMILIO VALDIZ�N,3707,3704,3691
100604,JOS� CRESPO Y CASTILLO,2328,23581,23817
100605,LUYANDO,9335,9424,9485
100606,MARIANO DAMASO BERA�N,10868,11042,11187
100607,PUCAYACU,391,392,3917
100608,CASTILLO GRANDE,13672,13904,14099
100609,PUEBLO NUEVO,4447,4433,4406
100610,SANTO DOMINGO DE ANDA,2725,27,2667
100700,MARA��N,28715,28978,2916
100701,HUACRACHUCO,15178,15142,15048
100702,CHOL�N,5793,5722,5629
100703,SAN BUENAVENTURA,2173,2139,2097
100704,LA MORADA,3127,3415,3713
100705,SANTA ROSA DE ALTO YANAJANCA,2444,256,2673
100800,PACHITEA,5187,51043,50086
100801,PANAO,184,18291,18126
100802,CHAGLLA,10733,10518,10278
100803,MOLINO,11117,1103,10912
100804,UMARI,1162,11204,1077
100900,PUERTO INCA,36016,3655,36987
100901,PUERTO INCA,10318,10505,10665
100902,CODO DEL POZUZO,7862,8065,8248
100903,HONORIA,4916,4856,4782
100904,TOURNAVISTA,6281,642,6543
100905,YUYAPICHIS,6639,6704,6749
101000,LAURICOCHA,192,18153,17114
101001,JES�S,424,4084,3921
101002,BA�OS,1957,1776,1606
101003,JIVIA,1206,112,1035
101004,QUEROPALCA,102,972,924
101005,RONDOS,3824,3589,3356
101006,SAN FRANCISCO DE ASIS,1301,1227,1152
101007,SAN MIGUEL DE CAURI,5652,5385,512
101100,YAROWILCA,20399,19562,18705
101101,CHAVINILLO,4891,4736,457
101102,CAHUAC,1144,1032,928
101103,CHACABAMBA,1092,991,898
101104,APARICIO POMARES,4942,4857,4754
101105,JACAS CHICO,1118,1062,1006
101106,OBAS,4002,3846,3684
101107,PAMPAMARCA,1138,1067,996
101108,CHORAS,2072,1971,1869
110000,ICA,923175,9501,975182
110100,ICA,421151,43386,445752
110101,ICA,160288,164698,168765
110102,LA TINGUI�A,43141,44689,46164
110103,LOS AQUIJES,23802,24761,25686
110104,OCUCAJE,4847,4998,5141
110105,PACHACUTEC,7838,807,8284
110106,PARCONA,58266,59294,60173
110107,PUEBLO NUEVO,692,722,7513
110108,SALAS,2791,29202,30467
110109,SAN JOS� DE LOS MOLINOS,7616,7811,7989
110110,SAN JUAN BAUTISTA,14928,15246,15527
110111,SANTIAGO,29524,30262,30933
110112,SUBTANJALLA,29864,31277,32666
110113,TATE,4975,5085,5184
110114,YAUCA DEL ROSARIO,1232,1247,126
110200,CHINCHA,24875,255687,26211
110201,CHINCHA ALTA,7373,75486,7707
110202,ALTO LARAN,8372,8639,8891
110203,CHAV�N,2263,2455,2658
110204,CHINCHA BAJA,14151,14401,14613
110205,EL CARMEN,13515,13745,1394
110206,GROCIO PRADO,27419,28264,29052
110207,PUEBLO NUEVO,69371,71511,7351
110208,SAN JUAN DE YANAC,1362,1511,1673
110209,SAN PEDRO DE HUACARPANA,1055,1069,1083
110210,SUNAMPE,31295,32204,33046
110211,TAMBO DE MORA,6217,6402,6574
110300,NASCA,74339,76481,78472
110301,NASCA,2909,29473,29772
110302,CHANGUILLO,213,2155,2175
110303,EL INGENIO,346,3527,3585
110304,MARCONA,17044,17563,18046
110305,VISTA ALEGRE,22615,23763,24894
110400,PALPA,14433,14652,14832
110401,PALPA,8434,8589,8722
110402,LLIPATA,1697,1732,1765
110403,R�O GRANDE,2898,2926,2946
110404,SANTA CRUZ,1036,1039,1037
110405,TIBILLO,368,366,362
110500,PISCO,164502,16942,174016
110501,PISCO,74035,76406,78636
110502,HUANCANO,1492,1474,1452
110503,HUMAY,5759,5811,5846
110504,INDEPENDENCIA,14129,14357,14544
110505,PARACAS,7942,8472,9011
110506,SAN ANDR�S,1545,15742,15995
110507,SAN CLEMENTE,27019,27985,28904
110508,T�PAC AMARU INCA,18676,19173,19628
120000,JUN�N,1.335.139,1.350.021,1.361.467
120100,HUANCAYO,572314,584464,595183
120101,HUANCAYO,122804,123748,124294
120104,CARHUACALLANGA,515,492,468
120105,CHACAPAMPA,983,964,941
120106,CHICCHE,761,725,687
120107,CHILCA,96609,98573,100252
120108,CHONGOS ALTO,1551,154,1523
120111,CHUPURO,209,2096,2095
120112,COLCA,1064,1047,1032
120113,CULLHUAS,1395,1351,1308
120114,EL TAMBO,1715,173882,175725
120116,HUACRAPUQUIO,142,142,1415
120117,HUALHUAS,5631,5825,6006
120119,HUANCAN,27005,28507,29996
120120,HUASICANCHA,866,855,840
120121,HUAYUCACHI,10456,10705,10925
120122,INGENIO,2489,2472,2448
120124,PARIAHUANCA,5481,5348,5201
120125,PILCOMAYO,21979,23024,24039
120126,PUCARA,4998,4937,4859
120127,QUICHUAY,1937,1937,1931
120128,QUILCAS,4045,406,4063
120129,SAN AGUST�N,17064,17885,18684
120130,SAN JER�NIMO DE TUN�N,12476,12772,13031
120132,SA�O,592,6171,6412
120133,SAPALLANGA,22967,24193,25401
120134,SICAYA,18834,20503,22244
120135,SANTO DOMINGO DE ACOBAMBA,6669,6547,6406
120136,VIQUES,2805,2885,2957
120200,CONCEPCI�N,5921,59256,59138
120201,CONCEPCI�N,16402,16631,16806
120202,ACO,1692,1669,1643
120203,ANDAMARCA,3652,3514,3371
120204,CHAMBARA,2728,2706,2675
120205,COCHAS,2014,1995,1971
120206,COMAS,5712,5547,5369
120207,HERO�NAS TOLEDO,1014,983,949
120208,MANZANARES,1537,1537,1532
120209,MARISCAL CASTILLA,1475,1472,1465
120210,MATAHUASI,6135,6236,6318
120211,MITO,1462,1462,1457
120212,NUEVE DE JULIO,2417,2488,2555
120213,ORCOTUNA,5038,5142,5233
120214,SAN JOS� DE QUERO,5829,5774,5702
120215,SANTA ROSA DE OCOPA,2103,21,2092
120300,CHANCHAMAYO,167344,167598,167385
120301,CHANCHAMAYO,28709,28984,29175
120302,PEREN�,59569,59984,60225
120303,PICHANAQUI,44032,43511,42869
120304,SAN LUIS DE SHUARO,4322,4151,3976
120305,SAN RAM�N,2888,29194,29425
120306,VITOC,1832,1774,1715
120400,JAUJA,88854,88751,88405
120401,JAUJA,19415,1971,19948
120402,ACOLLA,6425,6267,6093
120403,APATA,4651,4625,4586
120404,ATAURA,1366,1376,1382
120405,CANCHAYLLO,1708,1703,1692
120406,CURICACA,1501,1479,1454
120407,EL MANTARO,2727,2739,2743
120408,HUAMALI,1707,1685,1659
120409,HUARIPAMPA,1085,1089,109
120410,HUERTAS,2172,2205,2231
120411,JANJAILLO,587,572,557
120412,JULC�N,774,768,758
120413,LEONOR ORD��EZ,1625,1623,1616
120414,LLOCLLAPAMPA,1206,1194,1179
120415,MARCO,1531,1491,1447
120416,MASMA,1842,181,1774
120417,MASMA CHICCHE,768,756,742
120418,MOLINOS,1647,1633,1614
120419,MONOBAMBA,1818,1869,1917
120420,MUQUI,1059,1059,1057
120421,MUQUIYAUYO,2388,2387,238
120422,PACA,928,903,876
120423,PACCHA,1504,146,1413
120424,PANCAN,1287,1278,1264
120425,PARCO,1203,118,1152
120426,POMACANCHA,1484,1434,1382
120427,RICRAN,1326,1282,1236
120428,SAN LORENZO,2719,2768,2808
120429,SAN PEDRO DE CHUNAN,717,697,675
120430,SAUSA,3273,3321,3361
120431,SINCOS,4264,4247,4217
120432,TUN�N MARCA,1056,1029,998
120433,YAULI,1134,1095,1055
120434,YAUYOS,9957,10017,10049
120500,JUN�N,23797,23304,22757
120501,JUN�N,11419,11346,11238
120502,CARHUAMAYO,6827,6699,6554
120503,ONDORES,1232,1153,1075
120504,ULCUMAYO,4319,4106,389
120600,SATIPO,230946,235317,239105
120601,SATIPO,41659,42214,42647
120602,COVIRIALI,6359,6476,6573
120603,LLAYLLA,7117,734,7548
120604,MAZAMARI,41128,42212,43191
120605,PAMPA HERMOSA,4003,3825,3654
120606,PANGOA,62274,63895,65356
120607,R�O NEGRO,32977,33745,34427
120608,R�O TAMBO,30406,30204,29909
120609,VIZCAT�N DEL ENE,5023,5406,58
120700,TARMA,94725,93407,91849
120701,TARMA,50765,50739,50544
120702,ACOBAMBA,9959,9683,9387
120703,HUARICOLCA,1966,1891,1813
120704,HUASAHUASI,1053,10157,9768
120705,LA UNI�N,3689,3675,365
120706,PALCA,5991,5953,5897
120707,PALCAMAYO,3513,3253,3006
120708,SAN PEDRO DE CAJAS,3628,3473,3314
120709,TAPO,4684,4583,447
120800,YAULI,41382,40763,40041
120801,LA OROYA,144,14067,137
120802,CHACAPALPA,701,683,665
120803,HUAY-HUAY,2087,2134,2176
120804,MARCAPOMACOCHA,845,816,784
120805,MOROCOCHA,5276,528,527
120806,PACCHA,1681,1665,1644
120807,SANTA B�RBARA DE CARHUACAYA,1111,1057,1003
120808,SANTA ROSA DE SACCO,9006,8824,8618
120809,SUITUCANCHA,738,725,710
120810,YAULI,5537,5512,5471
120900,CHUPACA,56567,57161,57604
120901,CHUPACA,21539,21574,21538
120902,AHUAC,6741,6754,6745
120903,CHONGOS BAJO,4733,4761,4774
120904,HUACHAC,3146,3093,303
120905,HUAMANCACA CHICO,9672,10259,10839
120906,SAN JUAN DE ISCOS,2327,2325,2314
120907,SAN JUAN DE JARPA,2756,268,2598
120908,TRES DE DICIEMBRE,2896,3007,3114
120909,YANACANCHA,2757,2708,2652
130000,LA LIBERTAD,1.938.501,1.979.901,2.016.771
130100,TRUJILLO,1.060.030,1.090.514,1.118.724
130101,TRUJILLO,335811,340582,344374
130102,EL PORVENIR,211809,220624,229115
130103,FLORENCIA DE MORA,38506,38475,38334
130104,HUANCHACO,78375,82792,87192
130105,LA ESPERANZA,210654,217756,224427
130106,LAREDO,41158,42144,43024
130107,MOCHE,40336,4161,42798
130108,POROTO,3866,39,3924
130109,SALAVERRY,20983,21866,22717
130110,SIMBAL,4437,4482,4515
130111,V�CTOR LARCO HERRERA,74095,76283,78304
130200,ASCOPE,12185,122831,12348
130201,ASCOPE,6858,6865,6855
130202,CHICAMA,15849,15979,16065
130203,CHOCOPE,9828,9831,9807
130204,MAGDALENA DE CAO,2694,2685,2669
130205,PAIJ�N,27827,28396,28894
130206,R�ZURI,9204,9322,9415
130207,SANTIAGO DE CAO,19871,1995,19973
130208,CASA GRANDE,29719,29803,29802
130300,BOL�VAR,16025,16026,15982
130301,BOL�VAR,4969,5006,5031
130302,BAMBAMARCA,3205,3187,3159
130303,CONDORMARCA,2148,2148,2143
130304,LONGOTEA,2336,2347,235
130305,UCHUMARCA,246,2432,2396
130306,UCUNCHA,907,906,903
130400,CHEP�N,84346,8549,86411
130401,CHEP�N,48238,48644,48917
130402,PACANGA,23447,24114,24727
130403,PUEBLO NUEVO,12661,12732,12767
130500,JULC�N,31179,31125,30987
130501,JULC�N,12758,12776,12762
130502,CALAMARCA,5251,5167,507
130503,CARABAMBA,6923,693,6916
130504,HUASO,6247,6252,6239
130600,OTUZCO,85365,85345,85091
130601,OTUZCO,26502,26702,2683
130602,AGALLPAMPA,10276,10354,10403
130604,CHARAT,2643,2612,2574
130605,HUARANCHAL,4248,419,4122
130606,LA CUESTA,667,666,662
130608,MACHE,291,2894,2869
130610,PARANDAY,558,551,542
130611,SALPO,6506,6534,6543
130613,SINSICAP,7631,7597,7543
130614,USQUIL,23424,23245,23003
130700,PACASMAYO,109376,11131,11297
130701,SAN PEDRO DE LLOC,18747,19081,19368
130702,GUADALUPE,42788,43508,44119
130703,JEQUETEPEQUE,4384,4498,4604
130704,PACASMAYO,31002,31619,32161
130705,SAN JOS�,12455,12604,12718
130800,PATAZ,83672,84496,85092
130801,TAYABAMBA,13839,13871,13862
130802,BULDIBUYO,416,4201,4229
130803,CHILLIA,12872,12978,13046
130804,HUANCASPATA,617,6166,6142
130805,HUAYLILLAS,1212,1164,1116
130806,HUAYO,3817,3795,3762
130807,ONGON,1407,1385,136
130808,PARCOY,20312,20753,21147
130809,PATAZ,10158,10482,10782
130810,PIAS,1835,1872,1902
130811,SANTIAGO DE CHALLAS,2362,233,229
130812,TAURIJA,3025,3033,3032
130813,URPAY,2503,2466,2422
130900,S�NCHEZ CARRI�N,162427,165747,16867
130901,HUAMACHUCO,74786,77443,79944
130902,CHUGAY,18956,19177,19344
130903,COCHORCO,9815,9948,10054
130904,CURGOS,8678,8748,8795
130905,MARCABAL,11845,11627,11381
130906,SANAGORAN,14533,14728,14881
130907,SAR�N,9762,9847,9904
130908,SARTIMBAMBA,14052,14229,14367
131000,SANTIAGO DE CHUCO,56043,56032,55868
131001,SANTIAGO DE CHUCO,20223,20325,20368
131002,ANGASMARCA,5127,5067,4995
131003,CACHICAD�N,5899,5851,5789
131004,MOLLEBAMBA,1857,1854,1846
131005,MOLLEPATA,248,2464,2441
131006,QUIRUVILCA,13713,13727,13703
131007,SANTA CRUZ DE CHUCA,3067,3062,3049
131008,SITABAMBA,3677,3682,3677
131100,GRAN CHIM�,28507,28438,2829
131101,CASCAS,14279,14331,14344
131102,LUCMA,4984,4932,4866
131103,MARMOT,2537,2555,2566
131104,SAYAPULLO,6707,662,6514
131200,VIR�,99681,102547,105206
131201,VIR�,56433,575,58418
131202,CHAO,35857,37511,39125
131203,GUADALUPITO,7391,7536,7663
140000,LAMBAYEQUE,1.270.295,1.292.105,1.310.785
140100,CHICLAYO,84074,852801,862709
140101,CHICLAYO,28268,285907,28836
140102,CHONGOYAPE,19201,19441,19629
140103,ET�N,12643,12896,13118
